L,P,	Str,	Ilość	Nr na schemacie	Kod producenta	Kod KTM	Typ	Firma	Opis	Funkcja	
126	11	1	N.L.530	1001-11L36	8346.0171	KARTE	GERAL	CARTE FILTRAGE 2 DP POUR MP2	MP2_MASZYNA	TRANSLINE 1228
127	12	1	QF3	GV2M-10	8385.0069	SICHERHEITSSCHALTER	TELEMEC	DISJ. DE 4 A 6 AMP	MP2_MASZYNA	TRANSLINE 1228
128	12	1	SB5	XB2-BA21	8345.0223	KNOPF	TELEMEC	BOUTON POUSSOIR NOIR 1”F” DIAM=22 AFFLEUR A IMPULSION	MP2_MASZYNA	TRANSLINE 1228
129	12	1	SB6	XB2-BA21	8345.0223	KNOPF	TELEMEC	BOUTON POUSSOIR NOIR 1”F” DIAM=22 AFFLEUR A IMPULSION	MP2_MASZYNA	TRANSLINE 1228
130	12	1	SQ10	XCK-S141	8350.0198	ENDSCHALTER	ISNARD	FIN DE COURSE O+F MOUV.ANG.LEVIER GALET LONG.VAR.TELEMAC	MP2_MASZYNA	TRANSLINE 1228
131									MP2_MASZYNA	TRANSLINE 1228
132	12	1	QF15	GV2M-10	8385.0069	SICHERHEITSSCHALTER	TELEMEC	DISJ. DE 4 A 6 AMP	MP2_MASZYNA	TRANSLINE 1228
133	12	1	SB51	XB2-BA21	8345.0223	KNOPF	TELEMEC	BOUTON POUSSOIR NOIR 1”F” DIAM=22 AFFLEUR A IMPULSION	MP2_MASZYNA	TRANSLINE 1228
134	12	1	SB61	XB2-BA21	8345.0223	KNOPF	TELEMEC	BOUTON POUSSOIR NOIR 1”F” DIAM=22 AFFLEUR A IMPULSION	MP2_MASZYNA	TRANSLINE 1228
135	12	1	SQ30	XCK-S141	8350.0198	ENDSCHALTER	ISNARD	FIN DE COURSE O+F MOUV.ANG.LEVIER GALET LONG.VAR.TELEMAC	MP2_MASZYNA	TRANSLINE 1228
136	13	1	KM5-KM6	LC2 D0901F7	8325.0003	SCHUETZ	TELEMEC	INVERSEUR 110V/115V 60HZ 9A 3P + 1”O”	MP2_MASZYNA	TRANSLINE 1228
137	13	2	N.L.20		8316.0043	STORESCHUTZ	MURELEC	ANTIPARASITE 220 OH/0,2MF RC-3 DIL 250 (CONTACTEUR DILR)	MP2_MASZYNA	TRANSLINE 1228
138									MP2_MASZYNA	TRANSLINE 1228
139	13	1	KM23-KM24	LC2 D0901F7	8325.0003	SCHUETZ	TELEMEC	INVERSEUR 110V/115V 60HZ 9A 3P + 1”O”	MP2_MASZYNA	TRANSLINE 1228
140	13	2	N.L.20		8316.0043	STORESCHUTZ	MURELEC	ANTIPARASITE 220 OH/0,2MF RC-3 DIL 250 (CONTACTEUR DILR)	MP2_MASZYNA	TRANSLINE 1228
141									MP2_MASZYNA	TRANSLINE 1228
142	13	1	D46	XSA H 0131	8327.0044	DETEKTOR	TELEMEC	DETECTEUR 12A 24VCC DIAM 8 MM	MP2_MASZYNA	TRANSLINE 1228
143	13	1	D47	XSA H 0131	8327.0044	DETEKTOR	TELEMEC	DETECTEUR 12A 24VCC DIAM 8 MM	MP2_MASZYNA	TRANSLINE 1228
144	13	1	N.L.530	1001-11L36	8346.0171	KARTE	GERAL	CARTE FILTRAGE 2 DP POUR MP2	MP2_MASZYNA	TRANSLINE 1228
145	14	1	D56	XSA H 0131	8327.0044	DETEKTOR	TELEMEC	DETECTEUR 12A 24VCC DIAM 8 MM	MP2_MASZYNA	TRANSLINE 1228
146	14	1	D57	XSA H 0131	8327.0044	DETEKTOR	TELEMEC	DETECTEUR 12A 24VCC DIAM 8 MM	MP2_MASZYNA	TRANSLINE 1228
147	14	1	N.L.530	1001-11L36	8346.0171	KARTE	GERAL	CARTE FILTRAGE 2 DP POUR MP2	MP2_MASZYNA	TRANSLINE 1228
148	15	1	2SB0	FT52 3-235	8345.0077	TASTATUR		CLAVIER POUR SELECTION REGISTRE SELON	MP2_MASZYNA	TRANSLINE 1228
149	15	1	2SB8	XB2-BA21	8345.0223	KNOPF	TELEMEC	BOUTON POUSSOIR NOIR 1”F” DIAM=22 AFFLEUR A IMPULSION	MP2_MASZYNA	TRANSLINE 1228
150	15	1	2SB9	XB2-BA21	8345.0223	KNOPF	TELEMEC	BOUTON POUSSOIR NOIR 1”F” DIAM=22 AFFLEUR A IMPULSION	MP2_MASZYNA	TRANSLINE 1228
151	15	1	2SB31	XB2-BA31	8345.0210	KNOPF	TELEMEC	BOUTON POUSSOIR NOIR 1”F” DIAM=22 AFFLEUR A IMPULSION	MP2_MASZYNA	TRANSLINE 1228
152	15	1	2SB32	XB2-BA21	8345.0223	KNOPF	TELEMEC	BOUTON POUSSOIR NOIR 1”F” DIAM=22 AFFLEUR A IMPULSION	MP2_MASZYNA	TRANSLINE 1228
153	15	1	2SB33	XB2-BA21	8345.0223	KNOPF	TELEMEC	BOUTON POUSSOIR NOIR 1”F” DIAM=22 AFFLEUR A IMPULSION	MP2_MASZYNA	TRANSLINE 1228
154	15	1	2SB34-N.L.570	XB2-BA21	8345.0223	KNOPF	TELEMEC	BOUTON POUSSOIR NOIR 1”F” DIAM=22 AFFLEUR A IMPULSION	MP2_MASZYNA	TRANSLINE 1228
155	15	1	2SB34-N.L.580	ZB2BE101	8345.0143	KONTAKTBLOCK	TELEMEC	ELEMENT CONTACT CONTACT F	MP2_MASZYNA	TRANSLINE 1228
156									MP2_MASZYNA	TRANSLINE 1228
157	15	1	2SAH1-N.L.510		8361.3176			BOUTON TOURN.LUM.2F 110V 3POS. RAPPEL DE GAUCHE AU CENTRE TETE BLEUE	MP2_MASZYNA	TRANSLINE 1228
158	15	1	2SAH1-N.L.511	ZB2 BK176	8305.0162	KNOPF	TELEMEC	TETE BLEUE 3PTS BOUTON TOURNANT LUMINEUXRAPPEL DE G.A O	MP2_MASZYNA	TRANSLINE 1228
159	15	1	2SAH1-N.L.512	ZB2BE101	8345.0143	KONTAKTBLOCK	TELEMEC	ELEMENT CONTACT CONTACT F	MP2_MASZYNA	TRANSLINE 1228
160	15	1	2SAH1-N.L.513	ZB2 BW 031	8305.0097	KOERPER	TELEMEC	CORPS BPL 110V/6V-DIAM 22	MP2_MASZYNA	TRANSLINE 1228
161	15	1	2SAH1-N.L.520	ZB2BE102	8345.0144	KONTAKTBLOCK	TELEMEC	ELEMENT CONTACT CONTACT O	MP2_MASZYNA	TRANSLINE 1228
162	16	1	2SAH2-N.L.530		8361.3176			BOUTON TOURN.LUM.2F 110V 3POS. RAPPEL DE GAUCHE AU CENTRE TETE BLEUE	MP2_MASZYNA	TRANSLINE 1228
163	16	1	2SAH2-N.L.531	ZB2 BK176	8305.0162	KNOPF	TELEMEC	TETE BLEUE 3PTS BOUTON TOURNANT LUMINEUXRAPPEL DE G.A O	MP2_MASZYNA	TRANSLINE 1228
164	16	1	2SAH2-N.L.532	ZB2BE101	8345.0143	KONTAKTBLOCK	TELEMEC	ELEMENT CONTACT CONTACT F	MP2_MASZYNA	TRANSLINE 1228
165	16	1	2SAH2-N.L.533	ZB2 BW 031	8305.0097	KOERPER	TELEMEC	CORPS BPL 110V/6V-DIAM 22	MP2_MASZYNA	TRANSLINE 1228
166	16	1	2SAH2-N.L.540	ZB2BE102	8345.0144	KONTAKTBLOCK	TELEMEC	ELEMENT CONTACT CONTACT O	MP2_MASZYNA	TRANSLINE 1228
167	16	1	HL6		8361.4500	KONTROLLAMPE		BALISE VERTE FIXE+SUPPORT+JOINT+EMBASE.110V	MP2_MASZYNA	TRANSLINE 1228
168	16	1	HL6-N.L.551	XVA-C21	8305.0132	DECKEL	TELEMEC	COUVERCLE AVEC EMBASE POUR COLONNE LUMINEUSE	MP2_MASZYNA	TRANSLINE 1228
169	16	1	HL6-N.L.553	901A398	8392.0082	TRAEGER	DIVERS	SUPPORT BALAISE POUR BALAISE TELEMECANIQUE	MP2_MASZYNA	TRANSLINE 1228
170	16	1	HL6-N.L.554	XVA-C33	8305.0133	LAMPENABDECKUNG	TELEMEC	VERRIANE VERTE LUMINEUSE FIXE	MP2_MASZYNA	TRANSLINE 1228
171	16	1	HL6-N.L.555		6576.0035	GLUEHLAMPE	DIVERS	LAMPE D16X35 CULOT BA15 160V-5W	MP2_MASZYNA	TRANSLINE 1228
172	16	1	HL7		8361.4517	DECKGLAS		VERRINE BLEUE FIXE 110V	MP2_MASZYNA	TRANSLINE 1228
173	16	1	HL7-N.L.561	XVA-C36	8305.0139	LAMPENABDECKUNG	TELEMEC	VERRINE BLEUE LUMINEUSE FIXE	MP2_MASZYNA	TRANSLINE 1228
174	16	1	HL7-N.L.562		6576.0035	GLUEHLAMPE	DIVERS	LAMPE D16X35 CULOT BA15 160V-5W	MP2_MASZYNA	TRANSLINE 1228
175	17	1	KA14-N.L.10	CA2DN22F7	8365.0053	SCHUETZ	TELEMEC	CONTACTEUR AUX. 110-50HZ/115V-60HZ 2”F” + 2”O”	MP2_MASZYNA	TRANSLINE 1228
176	17	1	KA14-N.L.20	LA3DR2	8300.0005	ZEITRELAIS	TELEMEC	BLOC TEMPO REPOS 0,1@30 SECONDS	MP2_MASZYNA	TRANSLINE 1228
177	17	1	KA15-N.L.30	CA2DN22F7	8365.0053	SCHUETZ	TELEMEC	CONTACTEUR AUX. 110-50HZ/115V-60HZ 2”F” + 2”O”	MP2_MASZYNA	TRANSLINE 1228
178	17	1	KA15-N.L.40	LA3DR2	8300.0005	ZEITRELAIS	TELEMEC	BLOC TEMPO REPOS 0,1@30 SECONDS	MP2_MASZYNA	TRANSLINE 1228
179	17	1	KA15A-N.L.50	CA2DN22F7	8365.0053	SCHUETZ	TELEMEC	CONTACTEUR AUX. 110-50HZ/115V-60HZ 2”F” + 2”O”	MP2_MASZYNA	TRANSLINE 1228
180	17	1	KA15A-N.L.60	LA3DR2	8300.0005	ZEITRELAIS	TELEMEC	BLOC TEMPO REPOS 0,1@30 SECONDS	MP2_MASZYNA	TRANSLINE 1228
181	17	1	KA15B-N.L.70	CA2DN22F7	8365.0053	SCHUETZ	TELEMEC	CONTACTEUR AUX. 110-50HZ/115V-60HZ 2”F” + 2”O”	MP2_MASZYNA	TRANSLINE 1228
182	17	1	KA15B-N.L.80	LA3DR2	8300.0005	ZEITRELAIS	TELEMEC	BLOC TEMPO REPOS 0,1@30 SECONDS	MP2_MASZYNA	TRANSLINE 1228
183	17	1	KA15C-N.L.90	CA2DN22F7	8365.0053	SCHUETZ	TELEMEC	CONTACTEUR AUX. 110-50HZ/115V-60HZ 2”F” + 2”O”	MP2_MASZYNA	TRANSLINE 1228
184	17	1	KA15C-N.L.100	LA3DR2	8300.0005	ZEITRELAIS	TELEMEC	BLOC TEMPO REPOS 0,1@30 SECONDS	MP2_MASZYNA	TRANSLINE 1228
185	17	5	N.L.110	LRC-S7-0341	8316.033	STOERSCHUTZ	PRAT	ANTIPARASITE 220 OH + 0,22MF 	MP2_MASZYNA	TRANSLINE 1228
186	18	1	QF5	GV2M-07	8385.0067	SICHERHEITSSCHALTER	KM	DISJ. DE 1,6 A 2,4 AMP	MP2_MASZYNA	TRANSLINE 1228
187	18	1	SB9	XB2-BA21	8345.0223	KNOPF	TELEMEC	BOUTON POUSSOIR NOIR 1”F” DIAM=22 AFFLEUR A IMPULSION	MP2_MASZYNA	TRANSLINE 1228
188	18	1	SB10	XB2-BA21	8345.0223	KNOPF	TELEMEC	BOUTON POUSSOIR NOIR 1”F” DIAM=22 AFFLEUR A IMPULSION	MP2_MASZYNA	TRANSLINE 1228
189	18	1	QF6	GV2M-07	8385.0067	SICHERHEITSSCHALTER	KM	DISJ. DE 1,6 A 2,4 AMP	MP2_MASZYNA	TRANSLINE 1228
190	18	1	SB11	XB2-BA21	8345.0223	KNOPF	TELEMEC	BOUTON POUSSOIR NOIR 1”F” DIAM=22 AFFLEUR A IMPULSION	MP2_MASZYNA	TRANSLINE 1228
191	18	1	SB12	XB2-BA21	8345.0223	KNOPF	TELEMEC	BOUTON POUSSOIR NOIR 1”F” DIAM=22 AFFLEUR A IMPULSION	MP2_MASZYNA	TRANSLINE 1228
192									MP2_MASZYNA	TRANSLINE 1228
193	18	1	KM9-KM10	LC2 D0901F7	8325.0003	SCHUETZ	TELEMEC	INVERSEUR 110V/115V 60HZ 9A 3P + 1”O”	MP2_MASZYNA	TRANSLINE 1228
194	18	2	N.L.20	21028	8316.0043	STOERSCHUTZ	MURELEC	ANTIPARASITE 220 OH/0,2MF RC-3 DIL 250 (CONTACTEUR DILR)	MP2_MASZYNA	TRANSLINE 1228
195	19	1	KM11-KM12	LC2 D0901F7	8325.0003	SCHUETZ	TELEMEC	INVERSEUR 110V/115V 60HZ 9A 3P + 1”O”	MP2_MASZYNA	TRANSLINE 1228
196	19	2	N.L.20	21028	8316.0043	STOERSCHUTZ	MURELEC	ANTIPARASITE 220 OH/0,2MF RC-3 DIL 250 (CONTACTEUR DILR)	MP2_MASZYNA	TRANSLINE 1228
197									MP2_MASZYNA	TRANSLINE 1228
198	19	1	GI20-N.L.510	PB10 572R/25	8346.0160	KODIERER	DIVERS	G.I SANS CONNECTEUR FT MANUSCRITE	MP2_MASZYNA	TRANSLINE 1228
199	19	1	GI20-N.L.520	T3361-001	8360.0068	STECKER	AMPHENO	FICHE FEMELLE CIRCULAIRE C91-TYPEA 5CTS UMD	MP2_MASZYNA	TRANSLINE 1228
200	19	1	N.L.530	1001-11L36	8346.0171	KARTE	GERAL	CARTE FILTRAGE 2 DP POUR MP2	MP2_MASZYNA	TRANSLINE 1228
201									MP2_MASZYNA	TRANSLINE 1228
202	19	1	GI19-N.L.510	PB10 572R/25	8346.0160	KODIERER	DIVERS	G.I SANS CONNECTEUR FT MANUSCRITE	MP2_MASZYNA	TRANSLINE 1228
203	19	1	GI19-N.L.520	T3361-001	8360.0068	STECKER	AMPHENO	FICHE FEMELLE CIRCULAIRE C91-TYPEA 5CTS UMD	MP2_MASZYNA	TRANSLINE 1228
204	19	1	N.L.530	1001-11L36	8346.0171	KARTE	GERAL	CARTE FILTRAGE 2 DP POUR MP2	MP2_MASZYNA	TRANSLINE 1228
205	20	1	QF4	GV2M-10	8385.0069	SICHERHEITSSCHALTER	TELEMEC	DISJ. DE 4 A 6 AMP	MP2_MASZYNA	TRANSLINE 1228
206	20	1	SB7	XB2-BA21	8345.0223	KNOPF	TELEMEC	BOUTON POUSSOIR NOIR 1”F” DIAM=22 AFFLEUR A IMPULSION	MP2_MASZYNA	TRANSLINE 1228
207	20	1	SB8	XB2-BA21	8345.0223	KNOPF	TELEMEC	BOUTON POUSSOIR NOIR 1”F” DIAM=22 AFFLEUR A IMPULSION	MP2_MASZYNA	TRANSLINE 1228
208									MP2_MASZYNA	TRANSLINE 1228
209	20	1	KM7-KM8	LC2 D0901F7	8325.0003	SCHUETZ	TELEMEC	INVERSEUR 110V/115V 60HZ 9A 3P + 1”O”	MP2_MASZYNA	TRANSLINE 1228
210	20	2	N.L.20	21028	8316.0043	STOERSCHUTZ	MURELEC	ANTIPARASITE 220 OH/0,2MF RC-3 DIL 250 (CONTACTEUR DILR)	MP2_MASZYNA	TRANSLINE 1228
211									MP2_MASZYNA	TRANSLINE 1228
212	20	1	D47	XSA H 0131	8327.0044	DETEKTOR	TELEMEC	DETECTEUR 12A 24VCC DIAM 8 MM	MP2_MASZYNA	TRANSLINE 1228
213	20	1	D48	XSA H 0131	8327.0044	DETEKTOR	TELEMEC	DETECTEUR 12A 24VCC DIAM 8 MM	MP2_MASZYNA	TRANSLINE 1228
214	20	1	N.L.530	1001-11L36	8346.0171	KARTE	GERAL	CARTE FILTRAGE 2 DP POUR MP2	MP2_MASZYNA	TRANSLINE 1228
215	21	1	QF03	GV2M-05	8385.0098	SICHERHEITSSCHALTER	TELEMEC	DISJ. DE 0,6 A 1 AMP	MP2_MASZYNA	TRANSLINE 1228
216	21	1	AL1	BACRF129/10A	8346.0220	STROMVERSORGUNG	DIFSELC	ALIM 24VCC REDESSEE/FILTREE E:380V/450V* BOITIOER N’6	MP2_MASZYNA	TRANSLINE 1228
217	21	1	SA1	XB2-BD53	8345.0217	KNOPF	TELEMEC	BOUTON TOURNANT A MANETTE 3 POSITIONS F+F 2 A RAPPEL CENTRE	MP2_MASZYNA	TRANSLINE 1228
218	21	1	SA2	XB2-BD53	8345.0217	KNOPF	TELEMEC	BOUTON TOURNANT A MANETTE 3 POSITIONS F+F 2 A RAPPEL CENTRE	MP2_MASZYNA	TRANSLINE 1228
219	21	1	SA3	XB2-BD53	8345.0217	KNOPF	TELEMEC	BOUTON TOURNANT A MANETTE 3 POSITIONS F+F 2 A RAPPEL CENTRE	MP2_MASZYNA	TRANSLINE 1228
220	21	1	SA4	XB2-BD53	8345.0217	KNOPF	TELEMEC	BOUTON TOURNANT A MANETTE 3 POSITIONS F+F 2 A RAPPEL CENTRE	MP2_MASZYNA	TRANSLINE 1228
221	21	1	XSP1-N.L.550	PMR 532106	8360.0055	STECKER	RADIALE	PROLONG.MALE 6 CONTACTS RAPIDE MARQUE:JAEGER	MP2_MASZYNA	TRANSLINE 1228
222	21	1	XSP1-N.L.560	FFR 532006	8360.0054	STECKER	RADIALE	FICHE FEMELLE 6 CONTACTS RAPIDE MARQUE:JAEGER	MP2_MASZYNA	TRANSLINE 1228
223	21	2	XSP1-N.L.570	630135.006	8360.0050	KABELKLEMME	RADIALE	SERRE-CABLE 5 A 9 MM BOITIER N1 MARQUE:JAEGER	MP2_MASZYNA	TRANSLINE 1228
224	21	1	XSP2-N.L.580	PMR 532106	8360.0055	STECKER	RADIALE	PROLONG.MALE 6 CONTACTS RAPIDE MARQUE:JAEGER	MP2_MASZYNA	TRANSLINE 1228
225	21	1	XSP2-N.L.590	FFR 532006	8360.0054	STECKER	RADIALE	FICHE FEMELLE 6 CONTACTS RAPIDE MARQUE:JAEGER	MP2_MASZYNA	TRANSLINE 1228
226	21	2	XSP2-N.L.600	630135.006	8360.0050	KABELKLEMME	RADIALE	SERRE-CABLE 5 A 9 MM BOITIER N1 MARQUE:JAEGER	MP2_MASZYNA	TRANSLINE 1228
227	21	1	XSP3-N.L.610	PMR 532106	8360.0055	STECKER	RADIALE	PROLONG.MALE 6 CONTACTS RAPIDE MARQUE:JAEGER	MP2_MASZYNA	TRANSLINE 1228
228	21	1	XSP3-N.L.620	FFR 532006	8360.0054	STECKER	RADIALE	FICHE FEMELLE 6 CONTACTS RAPIDE MARQUE:JAEGER	MP2_MASZYNA	TRANSLINE 1228
229	21	2	XSP3-N.L.630	630135.006	8360.0050	KABELKLEMME	RADIALE	SERRE-CABLE 5 A 9 MM BOITIER N1 MARQUE:JAEGER	MP2_MASZYNA	TRANSLINE 1228
230	22	1	XSP4-N.L.640	PMR 532106	8360.0055	STECKER	RADIALE	PROLONG.MALE 6 CONTACTS RAPIDE MARQUE:JAEGER	MP2_MASZYNA	TRANSLINE 1228
231	22	1	XSP4-N.L.650	FFR 532006	8360.0054	STECKER	RADIALE	FICHE FEMELLE 6 CONTACTS RAPIDE MARQUE:JAEGER	MP2_MASZYNA	TRANSLINE 1228
232	22	2	XSP4-N.L.660	630135.006	8360.0050	KABELKLEMME	RADIALE	SERRE-CABLE 5 A 9 MM BOITIER N1 MARQUE:JAEGER	MP2_MASZYNA	TRANSLINE 1228
233									MP2_MASZYNA	TRANSLINE 1228
234	22	1	N.L.10	BACRF129/10A	8346.0220	STROMVERSORGUNG	DIFSELC	ALIM 24VCC REDESSEE/FILTREE E:380V/450V* BOITIOER N’6	MP2_MASZYNA	TRANSLINE 1228
235	23	1	AL2	BAC 115/1AMP	8346.0217	STROMVERSORGUNG	DIFSELC	ALIM 24VCC BOITIOER NØ1 REGUL&STABIL 110V/220V	MP2_MASZYNA	TRANSLINE 1228
236	23	1	V3	EGE 9S	8316.0029	DIODE	KM	BLOC DIODE 24VCC	MP2_MASZYNA	TRANSLINE 1228
237	23	1	KA3	ETS-00-44-24VCC	8316.0027	RELAIS	KM	RELAIS STATIQUE	MP2_MASZYNA	TRANSLINE 1228
238	23	1	KA4	ETS-00-44-24VCC	8316.0027	RELAIS	KM	RELAIS STATIQUE	MP2_MASZYNA	TRANSLINE 1228
239	23	1	KA5A-KA5B	ETS-V1-2-24VCC	8316.0028	RELAIS	KM	RELAIS ELECTROMAGNETIQUE	MP2_MASZYNA	TRANSLINE 1228
240	23	1	KA18	ETS-00-44-24VCC	8316.0027	RELAIS	KM	RELAIS STATIQUE	MP2_MASZYNA	TRANSLINE 1228
241	23	1	BQ1	IFR 30-24-35/S7	8327.0061	DETEKTOR	BAUMER	DETECTEUR DIAM=30MM PORTEE=10MM + CONNECTEUR ES7	MP2_MASZYNA	TRANSLINE 1228
242	23	1	BQ3	IFR 30-24-35/S7	8327.0061	DETEKTOR	BAUMER	DETECTEUR DIAM=30MM PORTEE=10MM + CONNECTEUR ES7	MP2_MASZYNA	TRANSLINE 1228
243	23	1	CEL1	P460C07-10/30V	8317.0227	ZELLE	DINEL	-CEL DIRCT	MP2_MASZYNA	TRANSLINE 1228
244	23	1	CEL2	P460C07-10/30V	8317.0227	ZELLE	DINEL	-CEL DIRCT	MP2_MASZYNA	TRANSLINE 1228
245	23	1	CEL3	P460C07-10/30V	8317.0227	ZELLE	DINEL	-CEL DIRCT	MP2_MASZYNA	TRANSLINE 1228
