L,P,	Str,	Ilość	Nr na schemacie	Kod producenta	Kod KTM	Typ	Firma	Opis	Funkcja	
246	23	1	CEL4	P460C07-10/30V	8317.0227	ZELLE	DINEL	-CEL DIRCT	MP2_MASZYNA	TRANSLINE 1228
247	23	1	CEL5	P460C07-10/30V	8317.0227	ZELLE	DINEL	-CEL DIRCT	MP2_MASZYNA	TRANSLINE 1228
248	23	1	CEL6	P460C07-10/30V	8317.0227	ZELLE	DINEL	-CEL DIRCT	MP2_MASZYNA	TRANSLINE 1228
249	23	1	CEL7	P460C07-10/30V	8317.0227	ZELLE	DINEL	-CEL DIRCT	MP2_MASZYNA	TRANSLINE 1228
250	23	1	CEL8	P460C07-10/30V	8317.0227	ZELLE	DINEL	-CEL DIRCT	MP2_MASZYNA	TRANSLINE 1228
251	23	1	CEL9	P460C07-10/30V	8317.0227	ZELLE	DINEL	-CEL DIRCT	MP2_MASZYNA	TRANSLINE 1228
252	23	1	SA7		8361.3155	KNOPF		BOUTON TOUR.”20”3POS FIX TETE NOIRE	MP2_MASZYNA	TRANSLINE 1228
253	24	1	SA7-N.L.581	ZB2BD3	8345.0155	KNOPFHAUBE	TE	TETE BT 3PTS FX 3PTS FIXES NOIRE	MP2_MASZYNA	TRANSLINE 1228
254	24	1	SA7-N.L.582	ZB2 BZ102	8345.0142	KOERPER	TELEMEC	CORPS DIAM22 + 1ELEMENT CONTACT O	MP2_MASZYNA	TRANSLINE 1228
255	24	1	SA7-N.L.583	ZB2BE102	8345.0144	KONTAKTBLOCK	TELEMEC	ELEMENT CONTACT CONTACT O	MP2_MASZYNA	TRANSLINE 1228
256									MP2_MASZYNA	TRANSLINE 1228
257	24	1	KA6	DILR22	8365.0149	SCHUETZ	KM	CONTACTEUR 110/120V-50/60HZ 2 „O” + 2 „F”	MP2_MASZYNA	TRANSLINE 1228
258	24	1	N.L.20	21028	8316.0043	STOERSCHUTZ	MURELEC	ANTIPARASITE 220 OH/0,2MF RC-3 DIL 250 (CONTACTEUR DILR)	MP2_MASZYNA	TRANSLINE 1228
259	24	1	SAH5-N.L.510	XB2BK12531	8305.0234	KNOPF	ISNARD	BTL JAUNE 110V-50/60HZ 120V-60HZ 1F 2 POS.FIXES TELE.	MP2_MASZYNA	TRANSLINE 1228
260	24	1	SAH5-N.L.520	ZB2BE102	8345.0144	KONTAKTBLOCK	TELEMEC	ELEMENT CONTACT CONTACT O	MP2_MASZYNA	TRANSLINE 1228
261	24	1	HL4	XB2-BV34	8305.0188	SIGNALLAMPE	TELEMEC	VOYANT LUMINEUX 110V-50HZ/110-120V-60HZ ROUGE DIAM=22	MP2_MASZYNA	TRANSLINE 1228
262	25	1	YV1		8301.0084	SPULE	HERION	BOBINE REF:0200.110V/50HZ (SANS PRISE)	MP2_MASZYNA	TRANSLINE 1228
263	25	1	N.L.520	70856/70644	8316.0034	STORESCHUTZ		ANTIPARASITE RC LUTZ PR E-V TYPE LRCV3 022/220	MP2_MASZYNA	TRANSLINE 1228
264	26	1	QF9-N.L.10	GV2M-08	8385.0068	SICHERHEISSCHALTER	TELEMEC	DISJ. DE 2,4 A 4 AMP	MP2_MASZYNA	TRANSLINE 1228
265	26	1	QF9-N.L.20	GV2AN11	8300.0040	KONTAKTBLOCK	TELEMEC	CONTACT AUX „1F” + „1O”	MP2_MASZYNA	TRANSLINE 1228
266	26	1	SB17	XB2-BA42	8345.0224	KNOPF	TELEMEC	BOUTON POUSSOIR ROUGE 1”O” DIAM=22 A FFLE. AIMPULSION	MP2_MASZYNA	TRANSLINE 1228
267	26	1	SB18	XB2-BA21	8345.0223	KNOPF	TELEMEC	BOUTON POUSSOIR NOIR 1”F” DIAM=22 AFFLEUR A IMPULSION	MP2_MASZYNA	TRANSLINE 1228
268	26	1	XSP5-N.L.530	3111013000M	8360.0020	STECKER	MARECHA	FICHE MALE 16/30A 380v + POIGNEE 3P+T	MP2_MASZYNA	TRANSLINE 1228
269	26	1	XSP5-N.L.540	3110013000M	8360.0018	SOCKEL	MARECHA	SOCLE FEMELLE 16/30A 380V +COUVERCLE 3P+T SOCLE MURAL	MP2_MASZYNA	TRANSLINE 1228
270									MP2_MASZYNA	TRANSLINE 1228
271	26	1	KM15	LC1 D0910F7	8320.0039	SCHUETZ	TELEMEC	CONTACTEUR 110V 50HZ / 115V 60HZ 9A 3P +1”F”	MP2_MASZYNA	TRANSLINE 1228
272	26	1	N.L.20	21028	8316.0043	STORESCHUTZ	MURELEC	ANTIPARASITE 220 OH/0,2MF RC-3 DIL 250 (CONTACTEUR DILR)	MP2_MASZYNA	TRANSLINE 1228
273	27	1	KA7	ETS-00-44-24VCC	8316.0027	RELAIS	KM	RELAIS STATIQUE	MP2_MASZYNA	TRANSLINE 1228
274	27	1	KA8	ETS-00-44-24VCC	8316.0027	RELAIS	KM	RELAIS STATIQUE	MP2_MASZYNA	TRANSLINE 1228
275	27	1	KA9A	ETS-V1-2-24VCC	8316.0028	RELAIS	KM	RELAIS ELECTROMAGNETIQUE	MP2_MASZYNA	TRANSLINE 1228
276	27	1	KA9C	ETS-V1-2-24VCC	8316.0028	RELAIS	KM	RELAIS ELECTROMAGNETIQUE	MP2_MASZYNA	TRANSLINE 1228
277	27	1	BQ2	XSA-H05713	8327.0050	DETEKTOR	TE	DETECTEUR DE 12V A 48V DIAM 18 3 FILS	MP2_MASZYNA	TRANSLINE 1228
278	27	1	CEL4	FVPSD61	8317.0214	DETEKTOR	DINEL	-DET.AF445C07-24V-DIRECT+ -FIBRE-OPT.	MP2_MASZYNA	TRANSLINE 1228
279									MP2_MASZYNA	TRANSLINE 1228
280	27	1	KA10	DILR22	8365.0149	SCHUETZ	KM	CONTACTEUR 110/120V-50/60HZ 2 „O” + 2 „F”	MP2_MASZYNA	TRANSLINE 1228
281	27	1	N.L.10	21028	8316.0043	STOERSCHUTZ	MURELEC	ANTIPARASITE 220 OH/0,2MF RC-3 DIL 250 (CONTACTEUR DILR)	MP2_MASZYNA	TRANSLINE 1228
282	27	1	HL5	XB2-BV34	8305.0188	SIGNALLAMPE	TELEMEC	VOYANT LUMINEUX 110V-50HZ/110-120V-60HZ ROUGE DIAM=22	MP2_MASZYNA	TRANSLINE 1228
283	28	1	QF10-N.L.10	GV2M-07	8385.0067	SICHERHEITSSCHALTER	TELEMEC	DISJ. DE 1,6 A 2,4 AMP	MP2_MASZYNA	TRANSLINE 1228
284	28	1	QF10-N.L.20	GV2AN11	8300.0040	KONTAKTBLOCK	TELEMEC	CONTACT AUX „1F” + „1O”	MP2_MASZYNA	TRANSLINE 1228
285	28	1	SB28	XB2-BA21	8345.0223	KNOPF	TELEMEC	BOUTON POUSSOIR NOIR 1”F” DIAM=22 AFFLEUR A IMPULSION	MP2_MASZYNA	TRANSLINE 1228
286	28	1	SB28	ZB2BE101	8345.0143	KONTAKTBLOCK	TELEMEC	ELEMENT CONTACT CONTACT F	MP2_MASZYNA	TRANSLINE 1228
287									MP2_MASZYNA	TRANSLINE 1228
288	28	1	KM16	LC1 D0910F7	8320.0039	SCHUETZ	TELEMEC	CONTACTEUR LC1 D0910F7 110V 50HZ / 115V 60HZ 9A 3P + 1”F”	MP2_MASZYNA	TRANSLINE 1228
289	28	1	KT1		8390.0070	ZEITRELAIS	DAMAC	MINUTERIE BLRMU 24 @ 240V DE 0,1 SEC. A 10 HEURES SYRELEC	MP2_MASZYNA	TRANSLINE 1228
290	28	1	N.L.30	LRC-S7-0341	8316.0033	STOERSCHUTZ	PRAT	ANTIPARASITE 220 OH + 0,22MF 	MP2_MASZYNA	TRANSLINE 1228
291	29	1	QF11	GV2M-07	8385.0067	SICHERHEISSCHALTER	TELEMEC	DISJ. DE 1,6 A 2,4 AMP	MP2_MASZYNA	TRANSLINE 1228
292	29	1	SB19	XB2-BA21	8345.0223	KNOPF	TELEMEC	BOUTON POUSSOIR NOIR 1”F” DIAM=22 AFFLEUR A IMPULSION	MP2_MASZYNA	TRANSLINE 1228
293	29	1	SB20	XB2-BA21	8345.0223	KNOPF	TELEMEC	BOUTON POUSSOIR NOIR 1”F” DIAM=22 AFFLEUR A IMPULSION	MP2_MASZYNA	TRANSLINE 1228
294	29	1	SQ13	XCK-S131	8350.0197	ENDSCHALTER	ISNARD	FIN DE COURSE O+F MOUV.ANG.LEVIER GALET THERMO. TELEMECA	MP2_MASZYNA	TRANSLINE 1228
295	29	1	SQ14	XCK-S141	8350.0198	ENDSCHALTER	ISNARD	FIN DE COURSE O+F MOUV.ANG.LEVIER GALET LONG.VAR.TELEMAC	MP2_MASZYNA	TRANSLINE 1228
296									MP2_MASZYNA	TRANSLINE 1228
297	29	1	KM17-KM18	LC2 D0901F7	8325.0003	SCHUETZ	TELEMEC	INVERSEUR 110V/115V 60HZ 9A 3P + 1”O”	MP2_MASZYNA	TRANSLINE 1228
298	29	2	N.L.20	21028	8316.0043	STOERSCHUTZ	MURELEC	ANTIPARASITE 220 OH/0,2MF RC-3 DIL 250 (CONTACTEUR DILR)	MP2_MASZYNA	TRANSLINE 1228
299	30	1	D51	XSA H 0131	8327.0044	DETEKTOR	TELEMEC	DETECTEUR 12A 24VCC DIAM 8 MM	MP2_MASZYNA	TRANSLINE 1228
300	30	1	D52	XSA H 0131	8327.0044	DETEKTOR	TELEMEC	DETECTEUR 12A 24VCC DIAM 8 MM	MP2_MASZYNA	TRANSLINE 1228
301	30	1	N.L.530	1001-11L36	8346.0171	KARTE	GERAL	CARTE FILTRAGE 2 DP POUR MP2	MP2_MASZYNA	TRANSLINE 1228
302	31	1	PC1	6108-3R	8317.0231	ZAEHLER	DAMAC	COMPTEUR AVEC CARTE D’ENTREE (SYRELEC)	MP2_MASZYNA	TRANSLINE 1228
303	31	1	CEL6-N.L.520	42DRPS000	8361.4000	ZELLE		CELLULE + SOCLE PHOTO-SWITCH PNP	MP2_MASZYNA	TRANSLINE 1228
304	31	1	CEL6-N.L.521	42DTB5000	8317.0176	SOCKEL	DEL	SOCLE CEL SERIE BLEUE TEMONAL BASE PHOTO SWITCH	MP2_MASZYNA	TRANSLINE 1228
305	31	1	CEL6-N.L.522	42DRP5000	8317.0175	ZELLE	DEL	CEL SERIE BLEUE PHOTOHEAD SORTIE PNP PHOTO-SWITCH	MP2_MASZYNA	TRANSLINE 1228
306	31	1	CEL6-N.L.530	PN 9239	8317.0013	SCHEIBE	ELECTRO	DISQUE DIAM 80 (PHOTO-SWITCH)	MP2_MASZYNA	TRANSLINE 1228
307									MP2_MASZYNA	TRANSLINE 1228
308	31	1	PC2	55-100-450	8317.0170	ZAEHLER	DURANT	COMPTEUR 92V A 132 VAC 50/60HZ 4 DECADES	MP2_MASZYNA	TRANSLINE 1228
309	31	1	R1		6844.0002	WIDERSTAND	DIMACEL	RESISTANCES 1W 5% TOUTES VALEURS CONFONDUES(4,7K)	MP2_MASZYNA	TRANSLINE 1228
310									MP2_MASZYNA	TRANSLINE 1228
311	31	1	N.L.510	42DRP5000	8317.0175	ZELLE	DEL	CEL SERIE BLEUE PHOTOHEAD SORTIE PNP PHOTO-SWITCH	MP2_MASZYNA	TRANSLINE 1228
312	31	1	N.L.520	42DTB5000	8317.0176	SOCKEL	DEL	SOCLE CEL SERIE BLEUE TEMONAL BASE PHOTO SWITCH	MP2_MASZYNA	TRANSLINE 1228
313	31	1	N.L.530	PN 9239	8317.0013	SCHEIBE	ELECTRO	DISQUE DIAM 80 (PHOTO-SWITCH)	MP2_MASZYNA	TRANSLINE 1228
314	32	1	SQ18	XCK-S131	8350.0197	ENDSCHALTER	ISNARD	FIN DE COURSE O+F MOUV.ANG.LEVIER GALET THERMO. TELEMECA	MP2_MASZYNA	TRANSLINE 1228
315	32	1	SQ19	XCK-S102	8350.0164	ENDSCHALTER	TELEMEC	FIN DE COURSE O+F MOUV.RECT. POUSSOIR GALET/AT.CAME 30Ø	MP2_MASZYNA	TRANSLINE 1228
316	32	1	SQ20	XCK-S131	8350.0197	ENDSCHALTER	ISNARD	FIN DE COURSE O+F MOUV.ANG.LEVIER GALET THERMO. TELEMECA	MP2_MASZYNA	TRANSLINE 1228
317									MP2_MASZYNA	TRANSLINE 1228
318	32	1	YV2		8301.0084	SPULE	HERION	BOBINE REF:0200.110V/50HZ (SANS PRISE)	MP2_MASZYNA	TRANSLINE 1228
319	32	1	YV3		8301.0084	SPULE	HERION	BOBINE REF:0200.110V/50HZ (SANS PRISE)	MP2_MASZYNA	TRANSLINE 1228
320	32	1	YV4		8301.0084	SPULE	HERION	BOBINE REF:0200.110V/50HZ (SANS PRISE)	MP2_MASZYNA	TRANSLINE 1228
321	32	1	YV5		8301.0084	SPULE	HERION	BOBINE REF:0200.110V/50HZ (SANS PRISE)	MP2_MASZYNA	TRANSLINE 1228
322	32	4	N.L.550	70856/70644	8316.0034	STOERSCHUTZ		ANTIPARASITE RC LUTZ PR E-V TYPE LRCV3 022/220	MP2_MASZYNA	TRANSLINE 1228
323	33	1	SB26-N.L.510		8361.3061	KNOPF		BOUTON POUSSOIR CORPS „O” + TETE NOIRE	MP2_MASZYNA	TRANSLINE 1228
324	33	1	SB26-N.L.511	ZB2 BZ102	8345.0142	KOERPER	TELEMEC	CORPS DIAM22 + 1ELEMENT CONTACT O	MP2_MASZYNA	TRANSLINE 1228
325	33	1	SB26-N.L.512	ZB2 BA2	8345.0145	KNOPFHAUBE	TELEMEC	TETE BP NOIRE	MP2_MASZYNA	TRANSLINE 1228
326									MP2_MASZYNA	TRANSLINE 1228
327	33	1	KA13	CA2DN22F7	8365.0053	SCHUETZ	TELEMEC	CONTACTEUR AUX. 110-50HZ/115V-60HZ 2”F” + 2”O”	MP2_MASZYNA	TRANSLINE 1228
328	33	1	KLA-KLB	CA2DN22F7	8365.0056	SCHUETZ	TELEMEC	CONTACTEUR AUX. 110-50HZ/115V-60HZ A MEN 2”F” + 2”O”	MP2_MASZYNA	TRANSLINE 1228
329	33	3	N.L.30	LRC-S7-0341	8316.0033	STOERSCHUTZ	PRAT	ANTIPARASITE 220 OH + 0,22MF 	MP2_MASZYNA	TRANSLINE 1228
330	33	1	YV6		8301.0084	SPULE	HERION	BOBINE REF:0200.110V/50HZ (SANS PRISE)	MP2_MASZYNA	TRANSLINE 1228
331	33	1	YV7		8301.0084	SPULE	HERION	BOBINE REF:0200.110V/50HZ (SANS PRISE)	MP2_MASZYNA	TRANSLINE 1228
332	33	1	YV8		8301.0084	SPULE	HERION	BOBINE REF:0200.110V/50HZ (SANS PRISE)	MP2_MASZYNA	TRANSLINE 1228
333	33	3	N.L.540	70856/70644	8316.0034	STORESCHUTZ		ANTIPARASITE RC LUTZ PR E-V TYPE LRCV3 022/220	MP2_MASZYNA	TRANSLINE 1228
334	33	1	SB27-N.L.550		8361.3081			BOUTON POUSSOIR LUMINEUX „F” TETE JAUNE 110V	MP2_MASZYNA	TRANSLINE 1228
335	33	1	SB27-N.L.551	ZB2 BW 031	8305.0097	KOERPER	TELEMEC	CORPS BPL 110V/6V-DIAM 22	MP2_MASZYNA	TRANSLINE 1228
336	34	1	SB27-N.L.552	ZB2BW35	8305.0113	KNOPFHAUBE	TELEMEC	TETE BPL JAUNE	MP2_MASZYNA	TRANSLINE 1228
337	35	1	BR7		8302.0056	GEHAEUSE	TELEMEC	BOITIER XAPM 21	MP2_MASZYNA	TRANSLINE 1228
338	35	1	BR8		8302.0056	GEHAEUSE	TELEMEC	BOITIER XAPM 21	MP2_MASZYNA	TRANSLINE 1228
339	35	1	BR9	K8-35-15	8302.0044	KASTEN	HAWA	BOITE ENTANCHE 80X350X150	MP2_MASZYNA	TRANSLINE 1228
340									MP2_MASZYNA	TRANSLINE 1228
341	35	1	KA11	PR4202RTSHRAC	8365.0174	RELAIS	PHOENIX	REL24VCC 0,5W CTS FLASHOR CI 2 FACES ENTANCHE/POUSSIERE PHOENIX RELAIS	MP2_MASZYNA	TRANSLINE 1228
342	35	1	CEL5	P460C07-10/30V	8317.0232	ZELLE	DINEL	-CEL. -INV.	MP2_MASZYNA	TRANSLINE 1228
343									MP2_MASZYNA	TRANSLINE 1228
344	35	1	N.L.510	P460C07-10/30V	8317.0232	ZELLE	DINEL	-CEL. -INV.	MP2_MASZYNA	TRANSLINE 1228
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
1	1	1	N.L.10	A 20124	8392.0136	SCHRANK	CLAUX	ARMOIRE STAR 2 PORTES 2000X1200X400 SUIVANT FT:MD26	MP2_SZAFA	TRANSLINE 1228
2	1	1	N.L.20	SS1240	8392.0140	SOCKEL	CLAUX	SOCLE ARMOIRE STAR APPRET NOIR ET STRUCTURE DE 100X1200X400	MP2_SZAFA	TRANSLINE 1228
3	1	4	N.L.30	RDZ6MZ211	6536.0003	PFOSTEN	TELEMEC	MONTANT CHASSIS L 1920	MP2_SZAFA	TRANSLINE 1228
4	1	5	N.L.40	DZ5MB201	6536.0001	PROFILEISEN	FOURNET	PROFIL DIN COD ASSYMETRIQUE	MP2_SZAFA	TRANSLINE 1228
5	1	7	N.L.50	AM1 DE 200	6536.0025	PROFILEISEN	N.P.I.	PROFIL DIN CADMIE H=15 L=35 SYMETRIQUE	MP2_SZAFA	TRANSLINE 1228
6	1	11	N.L.60	1696	6538.0001	LAUFRINNE	GGK	GOULOTTE H60XL30 6/4 48M	MP2_SZAFA	TRANSLINE 1228
7	1	3	N.L.70	1689	6538.0002	LAUFRINNE	GGK	GOULOTTE GF 60X60A6/4 24M	MP2_SZAFA	TRANSLINE 1228
8	1	60	N.L.80	AF1-CG6	6558.0034	MUTTER	TELEMEC	ECROU M6 ENCLIQUET. PROFIL SYMETR.	MP2_SZAFA	TRANSLINE 1228
9	1	60	N.L.90	NF E25129	6590.0006	SCHRAUBE		VIS RL S,M 6-20,AC 4.8, ZINGUE-BICHROMA (POELIER)	MP2_SZAFA	TRANSLINE 1228
10	1	80	N.L.100	DZ5-MF6	8349.0017	MUTTER	TELEMEC	ECROU A AGRAFE M6	MP2_SZAFA	TRANSLINE 1228
11	1	110	N.L.110	NF E25114	6586.0011	SCHRAUBE		VIS H,M 6- 20,AC 8.8, ZINGUE-BICHROMA	MP2_SZAFA	TRANSLINE 1228
12	1	110	N.L.120	55.06.03.44	6582.0029	RUNDSCHEIBE	MAURIN	RONDEL.CTS PICOT 6-12-1,2 NOMEL	MP2_SZAFA	TRANSLINE 1228
13	1	30	N.L.130	RDZ5 ME5	6538.0015	MUTTER	TELEMEC	ECROU COULIS M6	MP2_SZAFA	TRANSLINE 1228
14	1	2	N.L.140	250 222	6570.0139	BRETT		PLANCHE 3 PICTOGRAMMES „ECLAIR DANS TRIANGLE LARG.:90	MP2_SZAFA	TRANSLINE 1228
15	1	2	N.L.150	2802-0	6514.0006	STANGE	FGET	BARRE NEUTRE NUE T NSCH 1000X15X2	MP2_SZAFA	TRANSLINE 1228
16	1	50	N.L.160	2801-0	6514.0007	BUEGEL	FGET	ETRIER DE SERRAGE P/BARRE NEUTRE T DS	MP2_SZAFA	TRANSLINE 1228
17	2	50	N.L.170	2967-0	6514.0008	SCHRAUBE	FGET	VIS DE SERRAGE P BARRE N M5X3 TYPE BS	MP2_SZAFA	TRANSLINE 1228
18	2	1	QF1	GV2M-08	8385.0068	SICHERHEITSSCHALTER	TELEMEC	DISJ. DE 2,4 A 4 AMP	MP2_SZAFA	TRANSLINE 1228
19	2	1	QF2	FAZNC2	8385.2042	SICHERHEITSSCHALTER	K.M	DISJONCTEUR UNIPOLAIRE 2 AMP „UL”	MP2_SZAFA	TRANSLINE 1228
20	2	1	QF3	FANZC4	8385.2039	SICHERHEITSSCHALTER	K.M	DISJONCTEUR UNIPOLAIRE 4 AMPERES NORMES „UL”	MP2_SZAFA	TRANSLINE 1228
21	2	1	QF4	FAZNC2	8385.2042	SICHERHEITSSCHALTER	K.M	DISJONCTEUR UNIPOLAIRE 2 AMP „UL”	MP2_SZAFA	TRANSLINE 1228
22	2	1	QF6	FAZNC1	8385.2041	SICHERHEITSSCHALTER	K.M	DISJONCTEUR UNIPOLAIRE 1 AMPERE NORMES „UL”	MP2_SZAFA	TRANSLINE 1228
23	2	1	EL1	PS4143	8343.0021	ROHR	RITTAL	TUBE FLUORESCENT 230V 50HZ 15W L:475MM SANS STATER	MP2_SZAFA	TRANSLINE 1228
24	2	1	SQ1	PS4127	8350.0144	SCHALTER	RITTAL	INTER DE PORTE POUR ECLAIRAGE ARMOIRE TYPE PS	MP2_SZAFA	TRANSLINE 1228
25	2	1	EV2-N.L.280		8361.2505	VENTILATOR		VENTILATEUR RITTAL 220V + GRILLE + JOINT + FILTRE	MP2_SZAFA	TRANSLINE 1228
26	2	1	EV2-N.L.281	SK 3151	8687.0099	VENTILATOR	RITTAL	VENTILATEUR 220V/ 50HZ-230V/60HZ A FILTRE	MP2_SZAFA	TRANSLINE 1228
27	2	1	EV2-N.L.282	SK 3191	8687.1009	DICHTUNG	RITTAL	JOINT POUR FILTRE SK3161 & SK3151 LIVRE PAR 5	MP2_SZAFA	TRANSLINE 1228
28	2	1	EV2-N.L.290		8361.2506	SAUGOEFFNUNG		OUIE D’AERATION RITTAL + DILTRE + JOINT	MP2_SZAFA	TRANSLINE 1228
